order_id,status
526072,delivered
888139,in_transit
757474,in_transit
548117,in_transit
910745,in_transit
495622,delayed
14096,delayed
626264,delivered
509535,cancelled
8875,in_transit
719339,delayed
575437,in_transit
436449,in_transit
206251,delivered
193184,cancelled
121217,in_transit
896257,in_transit
982535,cancelled
532225,in_transit
29365,delayed
683058,cancelled
907846,delayed
243217,delayed
503655,delivered
657764,delivered
536945,delivered
988996,delayed
942090,in_transit
663029,delayed
896678,in_transit
454427,in_transit
976403,cancelled
793457,cancelled
409205,delayed
753567,in_transit
615767,cancelled
947762,delivered
955596,cancelled
495155,cancelled
537092,delivered
680779,in_transit
811534,cancelled
464888,cancelled
596521,cancelled
309789,cancelled
894651,in_transit
283481,delivered
731387,in_transit
24522,in_transit
968651,delivered
409751,cancelled
522852,delivered
619976,delivered
816144,cancelled
969332,delivered
108155,delivered
818553,delivered
716406,delivered
324360,delayed
604835,delayed
320305,delayed
330261,in_transit
966198,cancelled
424953,delivered
91806,cancelled
569549,delivered
143479,delayed
548893,cancelled
472222,delivered
853288,delayed
518569,delivered
145236,cancelled
372290,cancelled
85455,delivered
106009,cancelled
308647,delivered
34743,cancelled
33778,delivered
903640,delayed
877163,delivered
186951,delivered
116860,cancelled
977997,delayed
401056,cancelled
353033,delivered
379127,delayed
791061,delivered
868457,delivered
40888,delayed
632134,delivered
605453,cancelled
594990,cancelled
228500,cancelled
594420,cancelled
647461,delayed
317376,delayed
118218,delivered
464311,delayed
760098,delivered
658666,in_transit
793048,in_transit
736406,delayed
568146,cancelled
320000,cancelled
476985,in_transit
918072,in_transit
745950,delayed
31161,delivered
817049,delivered
20696,cancelled
859765,delayed
145662,in_transit
150314,cancelled
93354,cancelled
39741,in_transit
57311,delivered
448804,cancelled
860411,delivered
67923,delayed
846725,in_transit
815586,cancelled
666979,delayed
642735,in_transit
879292,in_transit
617936,cancelled
285470,cancelled
271607,delivered
245331,in_transit
196953,delivered
202565,cancelled
761302,delayed
942657,in_transit
335197,delayed
630722,delayed
990559,in_transit
550082,cancelled
862930,cancelled
868635,cancelled
115480,delivered
700912,in_transit
289820,cancelled
550534,delivered
328125,delayed
357397,delayed
751513,cancelled
459451,delivered
942339,cancelled
734350,in_transit
964210,cancelled
355960,in_transit
940195,delivered
907574,delayed
331204,delivered
